mblr,FREQ,SF_BldgFoot_201705_SoftStory_20181004_Soft Sto_3
SF2854006,2,120 GARDENSIDE DR
SF2752034,2,4221 20TH ST
SF2745037,2,646 CORBETT AV
SF6577032,2,3763 CESAR CHAVEZ ST
SF1173001G,2,1880 FULTON ST
SF0159001,2,1351 POWELL ST
SF1200013B,2,430 BAKER ST
SF0505015,2,1671 LOMBARD ST
SF1447049,2,5140 GEARY BL
SF1013010,2,3848 SACRAMENTO ST
SF0852020,2,241 PAGE ST
SF0561035,2,2520 BROADWAY
SF4265026,4,1200 POTRERO AV
SF3775039,2,45 SOUTH PARK
SF1151006,2,821 BAKER ST
SF3597052,2,140 LINDA ST
SF1435001,2,201 CLEMENT ST
SF3614073,2,1025 SOUTH VAN NESS AV
SF0087018,2,459 GREENWICH ST
SF6656019,3,84 CHENERY ST
SF1238032,2,941 PAGE ST
SF2799048,2,545 BURNETT AV
SF1453001,2,2011 CLEMENT ST
SF1544005,2,617 ARGUELLO BL
SF2854005,2,130 GARDENSIDE DR
SF0223016,2,1 DAWSON PL
SF1386007,2,239 26TH AV
SF3638041,2,840 SHOTWELL ST
SF7515A001,6,5070A DIAMOND HEIGHTS BL
SF7555101,24,305 ARBOR ST
SF1245002,2,625 ASHBURY ST
SF0952021,2,2585 UNION ST
SF0592004A,2,1900 JACKSON ST
SF0528019,2,1645 FILBERT ST
SF1254005,2,721 ASHBURY ST
SF1896020,4,1691 47TH AV
SF3608043,2,30 LIBERTY ST
SF0105051,2,100 ALTA ST
SF3779087,2,55 BOARDMAN PL
SF1250022,3,772 STANYAN ST
SF0639017,2,2171 SACRAMENTO ST
SF0931016,2,2574 CHESTNUT ST
SF0820004,4,618 FELL ST
SF3567005,2,438 GUERRERO ST
SF2755026,2,725 CORBETT AV
SF7546102,73,105 ADDISON ST
SF1226015,2,1868 PAGE ST
SF1180034,2,1543 MCALLISTER ST
SF1547033,2,570 05TH AV
SF1803001A,2,1306 LA PLAYA
SF0473019,2,1235 BAY ST
SF0052022,2,2252 MASON ST
SF0518037,2,1990 FILBET ST
SF3534095,2,277 CLINTON PK
SF1778021,2,1832 JUDAH ST
SF3637001,2,3111 22ND ST
SF7504A019,5,10 AMBER DR
SF1170035,2,2288 FULTON ST
SF0115020,2,1434 GRANT AV
SF6631001,3,1604 SANCHEZ ST
SF1365011,2,191 05TH AV
SF6508006,2,216 JERSEY ST
SF1536014,2,1700 ANZA ST
SF0551015,2,2420 FRANKLIN ST
SF2830025,2,4288 24TH ST
SF3631027,2,937 DOLORES ST
SF0528007,2,1658 UNION ST
SF3638042,2,846 SHOTWELL ST
SF3602066,2,661 CASTRO ST
SF7539022,5,5407 DIAMOND HEIGHTS BL
SF0133038,2,359 GREEN ST
SF0417B017,2,233 CERVANTES BL
SF0248026,2,1441 SACRAMENTO ST
SF0526015,2,1454 UNION ST
SF2854003,2,150 GARDENSIDE DR
SF1853014,2,1560 08TH AV
SF1386023,2,278 27TH AV
SF3544023,2,59 LANDERS ST
SF1151019,2,1980 GOLDEN GATE AV
SF3568019,2,157 ALBION ST
SF2647018,2,73 COLLINGWOOD ST
SF6594022,2,186 DUNCAN ST
SF0672019,2,1635 BUSH ST
SF0062014,2,444 LOMBARD ST
SF0132046,2,566 VALLEJO ST
SF7550102,16,116 MORELAND ST
SF3542013,2,2156 MARKET ST
SF3631026,2,941 DOLORES ST
SF4720008,4,5 CASHMERE ST
SF0597022,2,1535 JACKSON ST
SF3608060,3,3659 20TH ST
SF2826093,3,609 BURNETT AV
SF0062017B,2,490 LOMBARD ST
SF4273013,3,2950 26TH ST
SF0548025A,2,1335 UNION ST
SF0064011,2,640 LOMBARD ST
SF3578023,2,3664 18TH ST
SF2777001,2,3801 MARKET ST
SF0621006,2,1501 LARKIN ST
SF1227024,3,600 STANYAN ST
SF4265008,2,1295 HAMPSHIRE ST
SF0062023,2,367 CHESTNUT ST
SF1217036,2,1021 OAK ST
SF1065053,2,3220 GEARY BL
SF2695010,2,558 CASTRO ST
SF5501060,2,3341 CESAR CHAVEZ ST
SF0100045,2,865 FILBERT ST
SF0076003,3,1847 STOCKTON ST
SF0829016,2,528 OAK ST
SF0632007,2,2780 SACRAMENTO ST
SF2620061,2,278 STATES ST
SF6591010,2,408 DUNCAN ST
SF0133065,2,420 VALLEJO ST
SF7515A040,6,5110A DIAMOND HEIGHTS BL
SF0256065,2,730 POWELL ST
SF1104008,2,156 TERRA VISTA AV
SF1217020,2,300 DIVISADERO ST
SF1522003A,2,425 22ND AV
SF7515A027,6,5094A DIAMOND HEIGHTS BL
SF2619088,2,30 ORD CT
SF3607007,2,842 GUERRERO ST
SF0249019,2,1480 LARKIN ST
SF7553043,6,185 ARBOR ST
SF6539004,2,1450 CASTRO ST
SF2778032,2,827 CORBETT AV
SF2826095,4,725 BURNETT AV
SF0546011,2,1560 GREEN ST
SF0503004,2,2725 VAN NESS AV
SF2635045,2,444 WARREN DR
SF1427001,2,4405 CALIFORNIA ST
SF5358025,3,5172 03RD ST
SF2854001,5,428 BURNETT AV
SF0219020,2,1455 CLAY ST
SF1803001F,2,1311 48TH AV
SF0845001,2,349 PIERCE ST
SF1771003,2,1323 16TH AV
SF0479013,2,1229 FRANCISCO ST
SF1279090,2,4612 17TH ST
SF0550026,2,1463 GREEN ST
SF1050025,2,2661 PINE ST
SF3557038,2,367 CHURCH ST
SF0134016,2,384 VALLEJO ST
SF0103039,2,1539 GRANT AV
SF0910010,2,2040 JEFFERSON ST
SF3579022,2,3697 17TH ST
SF3631024,2,951A DOLORES ST
SF1570015,2,640 28TH AV
SF3608029,2,851 GUERRERO ST
SF6652029,2,471 30TH ST
SF3634006,2,3520 23RD ST
SF1466046,2,477 34TH AV
SF1379006,2,133 19TH AV
SF0827024,2,867 FELL ST
SF0548024,2,1341 UNION ST
SF0576047,2,1769 BROADWAY
SF0579021,2,2160 PACIFIC AV
SF2746035,3,3500 MARKET ST
SF0125010,2,1274 VALLEJO ST
SF0846011,2,720 HAIGHT ST
SF0846001,2,257 PIERCE ST
SF0978025,3,2772 JACKSON ST
SF0125007,2,1250 VALLEJO ST
SF4086004,2,2230 BRYANT ST
SF1210024,2,228 CLAYTON ST
SF6637020,2,292 30TH ST
SF7539013,6,5401 DIAMOND HEIGHTS BL
SF1771004,2,1329 16TH AV
SF2854100,2,160 GARDENSIDE DR
SF7098001E,2,5604 MISSION ST
SF6596015,2,3264 MISSION ST
SF3630009,2,966 DOLORES ST
SF1742001,2,1201 08TH AV
SF6172019,2,3326 SAN BRUNO AV
SF0589013,2,2286 JACKSON ST
SF2623001,2,340 CASTRO ST
SF1429010,3,249 04TH AV
SF3549034,2,359 SOUTH VAN NESS AV
SF4700052,18,135 KISKA RD
SF0638002,2,2015 LAGUNA ST
SF0844020,2,336 PIERCE ST
SF0551020,2,1624 VALLEJO ST
SF3614055,2,3025 21ST ST
SF1604008,2,778 41ST AV
SF0547014,2,1499 UNION ST
SF3511033,2,1551 MISSION ST
SF0794011,2,564 GROVE ST
SF0605024,2,2351 JACKSON ST
SF1381020A,2,182 22ND AV
SF7518036,10,5173 DIAMOND HEIGHTS BL
SF1031027,2,3151 CALIFORNIA ST
SF1267021,2,152 CARL ST
SF0054040,2,241 FRANCISCO ST
SF0502003,2,2649 POLK ST
SF0849016,2,448 HAIGHT ST
SF6597007S,4,122 TIFFANY AV
SF6274001,2,500 LISBON ST
SF2635047,2,470 WARREN DR
SF4713009,37,40 BEATRICE LN
SF0520036,2,1741 GREENWICH ST
SF0251026,2,1361 CALIFORNIA ST
SF1771005,2,1335 16TH AV
SF0686027,2,1725 SUTTER ST
SF0095028,3,1221 GREENWICH ST
SF3556033,2,233 DOLORES ST
SF0274025,2,735 MASON ST
SF2832022,8,630 GRAND VIEW AV
SF6632038,2,349 29TH ST
SF0589012,2,2280 JACKSON ST
SF1266019,2,294 CARL ST
SF0510013,2,2250 GREENWICH ST
SF0073022,2,819 LOMBARD ST
SF0808043,2,465 GROVE ST
SF2847054,2,120 PORTOLA DR
SF0591012,2,2171 PACIFIC AV
SF1230019,2,532 COLE ST
SF6516005A,2,2852 MISSION ST
SF1031026,2,3167 CALIFORNIA ST
SF0189002,4,1345 TAYLOR ST
SF2623086,2,37 STATES ST
SF1240048,2,860 WALLER ST
SF6525009,2,2952 FOLSOM ST
SF3576113,2,659 VALENCIA ST
SF7543100,22,106 ADDISON ST
SF3611017,2,3074 21ST ST
SF6522015,2,2870 HARRISON ST
SF1255019,3,110 FREDERICK ST
SF0129029,2,755 GREEN ST
SF0529019,2,1759 FILBERT ST
SF1247024,2,1667 HAIGHT ST
SF1462018,2,6600 GEARY BL
SF3614034,3,722 SHOTWELL ST
SF7543031,8,36 ADDISON ST
SF0794013,2,582 GROVE ST
SF3594044,2,559 SHOTWELL ST
SF0874008,2,2 CHURCH ST
SF0758028,12,1107 TURK ST
SF1778005,2,1331 23RD AV
SF2378035,3,2444 GREAT HY
SF3630024,2,165 CHATTANOOGA ST
SF2198011,2,900 RIVERA ST
SF6720004,3,3922 MISSION ST
SF3115053,2,675 MONTEREY BL
SF1857032,2,1500 12TH AV
SF0495007A,2,1685 CHESTNUT ST
SF1730010,2,1251 20TH AV
SF0073009A,2,962 GREENWICH ST
SF0478021,2,1125 FRANCISCO ST
SF3617079,2,3321 21ST ST
SF0535007,2,2350 UNION ST
SF1230018,2,540 COLE ST
SF0819004,2,516 FELL ST
SF6692001,2,3800 MISSION ST
SF0159040,2,30 WAYNE PL
SF3637020,2,2697 MISSION ST
SF6597005,2,40 TIFFANY AV
SF4700031,9,707 JERROLD AV
SF3538017,2,78 SANCHEZ ST
SF0119001,2,1753 MASON ST
SF0482018,2,1670 CHESTNUT ST
SF0938019,2,2640 GREENWICH ST
SF3589084,2,3476 19TH ST
SF1209033,2,829 MASONIC AV
SF0144009,2,426 BROADWAY
SF6596016,2,137 TIFFANY AV
SF1640053,2,300 CABRILLO ST
SF2633001,2,301 PARNASSUS AV
SF3555058,2,66 ALBION ST
SF1082003,2,1327 LYON ST
SF2635043,2,400 WARREN DR
SF0189013,2,1424 JONES ST
SF2607067,3,421 BUENA VISTA AV
SF7515A013,6,5082A DIAMOND HEIGHTS BL
SF0097018,2,1178 UNION ST
SF0040011,2,350 FRANCISCO ST
SF1226038,2,1995 OAK ST
SF1854023,2,1550 09TH AV
SF0088011,2,558 FILBERT ST
SF3730061,3,1155 HOWARD ST
SF2353014,2,2390 25TH AV
SF3564031,2,51 PROSPER ST
SF4720012,5,65 REUEL CT
SF7515A059,4,274 RED ROCK WY
SF3639034,2,2913 22ND ST
SF1734005,2,1231 16TH AV
SF1536021,2,1750 ANZA ST
SF0817003,2,305 LINDEN ST
SF2635042,2,414 WARREN DR
SF2636001,21,1575 05TH AV
SF0937026,2,2439 LOMBARD ST
SF0073003,2,2127 TAYLOR ST
SF0076027A,2,559 LOMBARD ST
SF6581053,2,524 27TH ST
SF0153014,2,1324 BROADWAY
SF2826126,4,24 PEREGO TR
SF1006029,9,3170 SACRAMENTO ST
SF1267071,2,144 CARL ST
SF0822019,2,874 FELL ST
SF1353040,2,90 06TH AV
SF0088009,2,540 FILBERT ST
SF4720029,16,1 REUEL CT
SF0495008,2,1665 CHESTNUT ST
SF3639013,2,2987 22ND ST
SF2085001,2,4101 NORIEGA ST
SF1260005,2,65 SCOTT ST
SF0158009,2,1401 MASON ST
SF1244030,2,1427 HAIGHT ST
SF0064006,2,2027 POWELL ST
SF3580016,2,3824 18TH ST
SF4167004,18,97 WATCHMAN WY
SF6515008,2,324 BARTLETT ST
SF7539028,5,1927 DIAMOND ST
SF1741011,2,1257 09TH AV
SF3515001,2,1601 HOWARD ST
SF0062013,3,434 LOMBARD ST
SF4338027,2,3037 HARRISON ST
SF1523032,2,460 22ND AV
SF1432018,2,14 CLEMENT ST
SF1636012,2,678 09TH AV
SF2629047,2,137 CLIFFORD TR
SF0512018,2,3132 SCOTT ST
SF0751001,7,1150 PIERCE ST
SF1174005,2,1850 FULTON ST
SF1203011,2,1138 FELL ST
SF7081A001,2,4071 19TH AV
SF3654017,2,3986 24TH ST
SF2778010,3,10 ARGENT AL
SF3543005,2,262 CHURCH ST
SF3654001,2,1048 SANCHEZ ST
SF0115019,2,1400 GRANT AV
SF1224004,2,445 ASHBURY ST
SF1272001,2,101 CARL ST
SF0827011,2,744 OAK ST
SF2635041,2,430 WARREN DR
SF4715012,13,60 OSCEOLA CT
SF3578010,2,562 GUERRERO ST
SF3595045,2,401 CAPP ST
SF7535100,46,1 GOLD MINE DR
SF1361047,2,237 ARGUELLO BL
SF1102015,2,240 ST JOSEPHS AV
SF3616008,2,2578 MISSION ST
SF3637027,2,2637 MISSION ST
SF0190016,3,1360 TAYLOR ST
SF3632005,2,1038 GUERRERO ST
SF6520007,2,2840 FOLSOM ST
SF7554103,44,250 ARBOR ST
SF1703035,2,1250 48TH AV
SF0511039,3,2265 LOMBARD ST
SF3632025,2,129 FAIR OAKS ST
SF2854008,2,98 PARKRIDGE DR
SF6617015,2,156 29TH ST
SF2854004,2,140 GARDENSIDE DR
SF0126031,2,1097 GREEN ST
SF2623092,2,101 STATES ST
SF1266016,2,268 CARL ST
SF0185007,2,1501 HYDE ST
SF0494015,2,1755 CHESTNUT ST
SF3628014,2,1090 CHURCH ST
SF0100022,2,892 UNION ST
SF7551102,5,2425 DIAMOND ST
SF3615006A,2,1062 SOUTH VAN NESS AV
SF0129019,2,1618 MASON ST
SF1775052,5,1307 20TH AV
SF4715013,38,30 WHITFIELD CT
SF3534002,2,104 GUERRERO ST
SF3633009,2,46 ALVARADO ST
SF3648020,2,1093 DOLORES ST
SF1272006,2,112 PARNASSUS AV
SF6544020,2,610 CLIPPER ST
SF3598004,2,750 GUERRERO ST
SF0555025,2,1949 GREEN ST
SF6601005,2,1574 CHURCH ST
SF3597046,2,172 LINDA ST
SF1273010,2,170 PARNASSUS AV
SF3647001,2,3601 23RD ST
SF7539011,5,5411 DIAMOND HEIGHTS BL
SF1431001,2,205 02ND AV
SF4024007C,2,678 HAMPSHIRE ST
SF3656002,2,1060 NOE ST
SF1046001,2,3001 PINE ST
SF4172001,2,2502 03RD ST
SF1854001,2,1501 08TH AV
SF0214022,4,1230 CLAY ST
SF3502107,2,196 DUBOCE AV
SF2854007,2,110 GARDENSIDE DR
SF1278022,2,1000 COLE ST
SF0506018,2,3110 LAGUNA ST
SF0121018,2,1067 UNION ST
SF1604028,2,717 40TH AV
SF3559002,4,2213 MARKET ST
SF3513058,2,33 MCCOPPIN ST
SF1472024,2,7630 GEARY BL
SF4715014,10,1210 OAKDALE AV
SF1643053,2,777 ARGUELLO BL
SF5512030,2,1545 HAMPSHIRE ST
SF2614067,2,2531 15TH ST
SF1931038,2,1649 12TH AV
SF1422025,2,274 12TH AV
SF1181025,2,1231 FULTON ST
SF0212030,2,1055 WASHINGTON ST
SF0929030,2,2295 FRANCISCO ST
SF0589031,2,2400 WEBSTER ST
SF2655042,2,1222 CLAYTON ST
SF1204032,2,1359 HAYES ST
SF2748027,2,77 GRAND VIEW AV
SF4270037,2,2961 24TH ST
SF1278014,2,1060 COLE ST
SF0063025,2,461 CHESTNUT ST
SF4145021,2,2774 22ND ST
SF1276008,2,1126 STANYAN ST
SF0650025,2,1914 PINE ST
SF3541081,2,819 14TH ST
